CUST ID;BALANCE;BALANCE FREQUENCY;PURCHASES;ONEOFF PURCHASES;INSTALLMENTS PURCHASES;CASH ADVANCE;PURCHASES FREQUENCY;ONEOFF PURCHASES FREQUENCY;PURCHASES INSTALLMENTS FREQUENCY;CASH ADVANCE FREQUENCY;CASH ADVANCE TRX;PURCHASES TRX;CREDIT LIMIT;PAYMENTS;MINIMUM PAYMENTS;PRC FULL PAYMENT;TENURE
C10028;125.694.817;1;233.28;0;233.28;0;1;0;1;0;0;12;1000;207.773.715;164.748.819;0;12
C10029;7.152.864.372;1;387.05;204.55;182.5;2.236.145.259;0.666667;0.166667;0.416667;0.833333;16;8;10500;1.601.448.347;1.648.851.345;0;12
C10030;2.206.349;1;100;0;100;0;0.416667;0;0.416667;0;0;5;6900;160.767.773;159.684.442;0;12
C10031;1.213.621.996;1;3038.01;1013.2;2024.81;3.183.583.301;1;0.166667;1;0.5;10;64;13000;4.230.323.491;329.201.503;0;12
C10032;1.162.273.324;1;1347.71;400;947.71;175.815.755;1;0.083333;1;0.166667;2;45;6000;645.998.299;256.848.991;0;12
C10033;6.732.823.064;1;324.95;324.95;0;1.189.533.753;0.083333;0.083333;0;0.166667;3;3;10500;1.720.118.876;2.506.745.366;0;12
C10034;125.660.453;1;636.79;636.79;0;0;0.916667;0.916667;0;0;0;11;1200;423.449.696;196.301.885;0.3;12
C10035;3.517.101.616;0.727273;547.28;0;547.28;0;1;0;1;0;0;14;11000;8.735.607.835;1.786.255.831;0;12
C10036;1.656.350.781;1;0;0;0;99.264.367;0;0;0;0.083333;1;0;1800;351.500.199;634.569.311;0;12
C10037;7.427.076.941;1;0;0;0;8.873.375.046;0;0;0;0.727273;11;0;9000;1.636.361.601;1.986.843.608;0;11
C10038;4.047.480.828;1;2380.55;1642.17;738.38;1.697.660.901;0.75;0.5;0.75;0.333333;7;41;5000;1.617.894.416;1.541.141.605;0;12
C10039;6.269.418.144;1;204;204;0;2.925.699.862;0.083333;0.083333;0;0.333333;12;2;9000;1.237.111.661;2.049.408.839;0;12
C10040;141.160.223;0.454545;963.24;963.24;0;6.173.682.877;0.083333;0.083333;0;0.333333;6;6;7500;2.007.107.544;719.948.985;0.333333;12
C10041;66.344.781;0.727273;0;0;0;3.133.063.934;0;0;0;0.25;3;0;1800;306.705.783;283.333.445;0.166667;12
C10043;784.889.762;0.909091;1526.59;786.3;740.29;2.188.419.607;0.583333;0.416667;0.333333;0.25;11;27;3000;1.262.309.666;363.142.736;0.111111;12
C10044;4.104.710.798;1;203.82;203.82;0;0;0.083333;0.083333;0;0;0;1;4500;868.275.275;1.801.264.841;0;12
C10045;1.360.742.377;1;0;0;0;1.481.587.093;0;0;0;0.083333;1;0;1500;378.294.227;321.354.137;0;12
C10046;5.315.945.594;1;1525.44;469.8;1055.64;0;1;0.333333;1;0;0;20;8500;1.430.341.501;131.871.492;0;12
C10047;2.242.311.686;1;437;97;340;184.648.692;0.333333;0.083333;0.333333;0.166667;2;5;2400;0;;0;12
C10048;474.447.149;0.5;109.74;0;109.74;1.013.659.552;0.375;0;0.25;0.125;1;3;1700;176.013.005;147.199.792;0;8
C10049;3.910.111.237;1;0;0;0;1.980.873.201;0;0;0;0.5;7;0;4200;0;;0;12
C10050;229.867.179;1;2390.6;1402.93;987.67;0;1;0.666667;1;0;0;87;3300;2.543.953.559;175.657.825;0.916667;12
C10051;863.809.833;1;507.5;507.5;0;695.097.159;0.166667;0.166667;0;0.083333;2;3;4000;587.866.451;286.448.719;0.083333;12
C10052;4.931.331.857;1;901.42;646.07;255.35;8.530.648.614;0.625;0.375;0.25;0.875;37;9;12000;8.113.297.346;1.012.415.961;0;8
C10053;1.078.888.565;1;3107.85;2221.74;886.11;0;0.666667;0.583333;0.5;0;0;18;2500;139.982.834;1.322.446.601;0;12
C10054;1.565.681.099;1;0;0;0;321.359.135;0;0;0;0.25;3;0;3500;691.825.279;581.481.917;0;12
C10055;464.674.156;0.888889;1979.22;1979.22;0;1.981.265.503;0.666667;0.666667;0;0.111111;1;11;3000;3.110.052.742;132.446.091;0.2;9
C10056;6.660.517;0.636364;310;0;310;0;0.666667;0;0.666667;0;0;8;1000;417.016.763;;0;12
C10057;1.311.995.984;1;1283.9;1283.9;0;0;0.25;0.25;0;0;0;6;6000;0;;0;12
C10058;3.625.218.146;1;313.27;313.27;0;668.468.743;0.25;0.25;0;0.416667;5;4;4000;0;;0;12
C10059;2.386.330.629;1;5217.62;4789.09;428.53;0;0.916667;0.916667;0.5;0;0;42;7500;5.678.729.613;1.311.514.878;0.083333;12
C10060;3.971.138.765;1;0;0;0;224.575.517;0;0;0;0.181818;3;0;4000;764.938.728;1.600.212.243;0;11
C10061;549.390.406;1;229;0;229;970.591.332;0.416667;0;0.333333;0.333333;4;6;6000;2.110.557.023;189.502.617;0;12
C10062;1.879.114.033;0.727273;113;113;0;0;0.166667;0.166667;0;0;0;2;6500;3.509.686.561;548.105.836;0;12
C10063;1.555.793.701;1;66.2;66.2;0;0;0.083333;0.083333;0;0;0;1;1600;338.083.661;837.215.674;0;12
C10064;809.582.978;0.909091;0;0;0;3.819.672.466;0;0;0;0.545455;7;0;4150;4.372.148.648;241.645.387;0.090909;11
C10065;7.152.356;0.090909;840;840;0;0;0.083333;0.083333;0;0;0;1;1600;0;;0;12
C10067;1.923.886.805;1;1887.64;0;1887.64;1.605.949.371;1;0;1;0.083333;4;61;1850;3.688.045.998;3.266.996.777;0.083333;12
C10068;1.758.059.987;1;412.33;325.21;87.12;0;0.583333;0.333333;0.166667;0;0;11;1800;777.451.648;897.905.444;0;12
C10069;809.847.455;0.875;0;0;0;908.423.608;0;0;0;0.125;1;0;1500;146.074.769;179.412.493;0;8
C10070;1.576.305.029;1;0;0;0;382.908.547;0;0;0;0.416667;6;0;2500;540.022.225;352.883.804;0;12
C10071;3.990.523.579;1;263.5;190.6;72.9;0;0.666667;0.083333;0.583333;0;0;8;6000;6.876.836.205;1.001.607.366;0.083333;12
C10072;1.699.435.486;1;1363.69;1363.69;0;0;0.333333;0.333333;0;0;0;4;1700;1.623.816.348;923.505.868;0;12
C10073;5.487.683.724;1;419.1;0;419.1;625.399.386;0.916667;0;0.833333;0.333333;4;11;6250;1.288.214.909;2.180.881.868;0;12
C10074;2.990.422.186;0.909091;4523.27;1664.09;2859.18;2.729.648.576;0.666667;0.5;0.583333;0.833333;27;33;7000;2.823.269.446;1.107.030.803;0.454545;12
C10075;65.601.301;1;0;0;0;1.474.349.901;0;0;0;0.125;3;0;7000;910.457.985;140.983.193;0.25;8
C10077;1.808.972.419;1;713.9;503.08;210.82;0;0.5;0.1;0.4;0;0;8;2250;889.017.418;622.757.696;0;10
C10078;532.334.517;0.909091;791.94;516.64;275.3;0;0.272727;0.090909;0.181818;0;0;7;6000;1.305.177.304;175.510.344;0;11
C10079;5.860.433.624;1;561.87;249.5;312.37;0;0.833333;0.166667;0.75;0;0;14;6000;1.990.044.998;2.161.428.274;0;12
C10080;1.727.638.449;1;606.11;606.11;0;0;1;1;0;0;0;17;11000;2.959.920.544;623.656.993;0;12
C10081;578.809.679;1;320;0;320;0;0.75;0;0.666667;0;0;8;1500;1.438.910.569;190.186.542;0;12
C10082;1.205.716.678;1;0;0;0;38.325.801;0;0;0;0.083333;1;0;1200;29.278.671;8.242.687.678;0;12
C10083;6.593.820.644;1;388.66;388.66;0;462.193.458;0.583333;0.583333;0;0.416667;7;7;7000;1.624.583.114;250.340.234;0;12
C10084;17.357.563;0.909091;244.85;40.21;204.64;0;0.666667;0.166667;0.583333;0;0;13;5000;357.802.082;121.523.416;0.181818;12
C10085;81.584.711;0.272727;0;0;0;2.985.300.006;0;0;0;0.166667;5;0;9500;116.569.033;164.692.136;0;12
C10086;378.631;0.636364;133.05;28.2;104.85;0;0.416667;0.166667;0.25;0;0;5;12000;210.053.432;99.533.735;0.444444;12
C10087;4.246.443;0.545455;396;0;396;0;0.5;0;0.416667;0;0;12;1200;725.606.194;140.809.454;1;12
C10088;1.935.362.486;1;4915.6;4515.34;400.26;293.844.792;1;1;0.333333;0.083333;1;50;9000;4.921.066.897;594.756.686;0;12
C10089;134.917.202;1;1247.8;1247.8;0;0;1;1;0;0;0;22;16500;1.275.229.436;171.357.189;1;12
C10090;7.069.950.386;1;1603.78;1445.14;158.64;5.626.004.046;1;0.833333;1;0.75;23;23;11000;4.589.873.897;1.876.262.988;0;12
C10092;8.181.251.131;1;2258.01;1318.78;939.23;5.251.228.934;1;0.75;1;0.75;21;60;13500;3.021.575.846;2.074.581.541;0;12
C10093;4.037.305.658;1;45;45;0;104.238.064;0.083333;0.083333;0;0.083333;1;1;4500;1.073.844.885;968.941.265;0;12
C10094;6.110.265.264;1;0;0;0;2.717.253.917;0;0;0;0.416667;14;0;6500;1.502.205.631;2.864.380.327;0;12
C10095;9.381.255.094;1;5100.07;1147.83;3952.24;370.737.197;1;0.25;0.916667;0.083333;1;46;9000;6.409.496.345;9.827.045.323;0;12
C10096;197.700.709;1;1032.04;226.9;805.14;4.335.919.227;0.909091;0.090909;0.818182;0.545455;21;17;4000;3.056.424.974;910.707.525;0.090909;11
C10097;132.147.608;1;45.65;45.65;0;495.657.934;0.083333;0.083333;0;0.083333;1;1;1800;440.840.439;312.560.636;0;12
C10098;1.307.717.841;1;405.6;405.6;0;0;0.166667;0.166667;0;0;0;2;2400;0;;0;12
C10099;2.329.485.768;1;213.34;213.34;0;0;0.25;0.25;0;0;0;3;2400;0;;0;12
C10100;1.139.782.882;1;0;0;0;120.612.912;0;0;0;0.083333;1;0;1200;151.823.651;2.906.110.765;0;12
C10101;1.619.955.708;1;739.44;739.44;0;0;0.666667;0.666667;0;0;0;11;6000;417.128.532;389.138.517;0;12
C10102;3.505.671.311;1;0;0;0;1.713.984.305;0;0;0;0.5;6;0;4000;0;;0;12
C10103;4.708.041;0.363636;79;0;79;0;0.25;0;0.166667;0;0;3;7000;217.820.198;121.781.205;1;12
C10104;0;0;0;0;0;89.849.004;0;0;0;0.142857;1;0;3000;138.021.428;;0;7
C10105;4.875.885;0.666667;20;20;0;0;0.111111;0.111111;0;0;0;1;1500;26.487.919;60.913.577;0;9
C10106;23.394.411;0.272727;1346.28;0;1346.28;0;1;0;1;0;0;12;2000;712.149.153;5.479.166;0;12
C10107;3.539.801.912;1;2823.8;1540.41;1283.39;0;0.916667;0.916667;0.833333;0;0;75;5700;9.172.788.366;2.103.796.148;0.083333;12
C10108;0.62424;0.090909;389.96;0;389.96;0;1;0;1;0;0;31;4500;0;;0;12
C10109;86.207.238;1;0;0;0;920.309.805;0;0;0;0.083333;1;0;4000;2.236.890.255;214.828.158;0.083333;12
C10110;2.441.542.991;1;808;808;0;959.857.263;0.25;0.25;0;0.333333;6;4;4000;532.741.699;1.026.976;0;12
C10111;408.656.365;1;941.64;0;941.64;0;1;0;1;0;0;12;2500;109.778.942;176.610.605;0.083333;12
C10112;4.986.400.804;1;0;0;0;5.439.467.563;0;0;0;0.583333;40;0;8000;1.241.538.024;1.439.230.899;0;12
C10113;1.246.624.558;1;423.7;177.64;246.06;412.399.058;0.666667;0.166667;0.5;0.083333;2;10;2000;577.050.373;498.365.419;0;12
C10114;6.644.201.651;1;4478.75;2721.59;1757.16;7.205.520.805;1;0.916667;1;0.583333;21;64;9000;1.085.794.321;2.469.571.326;0.083333;12
C10115;156.216.753;0.818182;1354.86;585.63;769.23;0;0.916667;0.333333;0.833333;0;0;34;5500;858.976.682;108.319.927;0;12
C10116;3.393.351.236;1;0;0;0;1.008.348.672;0;0;0;0.083333;2;0;4200;0;;0;12
C10117;5.322.994.094;1;2812.2;857.12;1955.08;2.510.352.951;1;0.25;1;0.333333;8;81;8500;1.509.423.237;1.834.031.569;0;12
C10118;645.856.209;1;0;0;0;3.360.228.794;0;0;0;0.25;11;0;7000;127.776.778;2.760.115.734;0;12
C10119;175.341.651;0.818182;1508.9;1252.36;256.54;0;0.666667;0.416667;0.333333;0;0;14;5000;1.884.227.778;136.639.824;1;12
C10120;680.195.157;1;1045.57;667.95;377.62;0;1;0.583333;1;0;0;25;3000;552.432.305;207.720.441;0;12
C10121;223.763.616;0.636364;2309.78;0;2309.78;0;0.583333;0;0.5;0;0;12;6500;120.681.188;99.372.848;0.333333;12
C10122;1.785.626.943;1;0;0;0;576.206.382;0;0;0;0.25;10;0;1800;687.691.735;2.439.136.113;0;12
C10123;54.933.231;0.272727;495;0;495;0;0.166667;0;0.166667;0;0;2;7000;1.969.845.566;147.049.952;1;12
C10124;2.662.629.852;1;0;0;0;509.023.801;0;0;0;0.333333;4;0;3000;932.418.855;709.207.016;0;12
C10125;8.504.876.253;1;6724.26;4100.08;2624.18;1.686.599.777;1;0.916667;1;0.5;10;85;17000;1.888.756.861;2.167.446.204;0;12
C10126;1.464.324.632;1;1174.39;1174.39;0;0;0.25;0.25;0;0;0;8;9000;0;;0;12
C10127;2.114.158.683;1;5580.85;0;5580.85;0;1;0;1;0;0;75;8500;3.564.977.774;63.000.413;0;12
C10128;2.876.396.444;1;0;0;0;99.884.867;0;0;0;0.166667;2;0;3200;1.065.426.905;1.412.648.089;0;12
C10130;1.422.411.541;1;0;0;0;4.614.427.403;0;0;0;0.333333;9;0;19000;3.066.614.272;3.406.258.999;0;12
C10131;2.392.917.738;1;12462.44;12462.44;0;0;0.916667;0.916667;0;0;0;217;2800;1.162.871.557;2.000.990.921;0;12
C10132;57.453.201;0.75;0;0;0;272.713.302;0;0;0;0.125;1;0;1200;385.853.874;84.697.292;0.166667;8
C10133;4.245.855.092;1;1957.3;1077.3;880;0;0.833333;0.166667;0.583333;0;0;19;5000;100.435.474;1.086.428.906;0;12
C10134;1.116.723.403;1;150.64;150.64;0;8.362.154.254;0.083333;0.083333;0;0.5;14;1;17000;2.606.059.389;2.894.077.159;0;12
C10135;69.405.545;0.090909;0;0;0;2.799.714.934;0;0;0;0.083333;3;0;13000;0;;0;12
C10136;116.654.149;0.272727;907;907;0;273.558.033;0.25;0.25;0;0.083333;1;8;5000;0;;0;12
C10137;4.637.848.144;1;1271.12;351.54;919.58;0;0.833333;0.25;0.833333;0;0;33;5000;1.906.032.044;3.572.279.251;0;12
C10138;2.428.497;0.636364;250.6;0;250.6;0;0.583333;0;0.5;0;0;7;3000;319.762.903;173.632.006;0;12
C10139;935.406.045;1;796.33;796.33;0;1.374.847.131;0.083333;0.083333;0;0.666667;16;1;13000;1.066.465.866;2.600.875.721;0.083333;12
C10140;231.108.995;1;440;0;440;0;0.916667;0;0.916667;0;0;22;4000;554.116.542;185.091.037;0;12
C10141;1.562.633.343;1;1330.62;1169.63;160.99;0;0.5;0.166667;0.25;0;0;8;2000;1.020.783.647;709.610.053;0;12
C10142;2.494.868.559;1;5491.79;1390.5;4101.29;0;1;0.5;1;0;0;52;17000;1.015.311.953;61.592.402;0;12
C10143;706.132.889;1;897.86;714.52;183.34;586.268.966;0.916667;0.333333;0.916667;0.25;3;18;1200;972.358.048;184.524.376;0;12
C10144;1.904.313.856;1;22009.92;9449.07;12560.85;0;1;0.75;1;0;0;216;18000;2.301.857.583;1.862.101.331;0;12
C10145;2.235.103.331;1;720.6;720.6;0;723.308.724;1;1;0;0.083333;1;12;2500;1.061.292.471;689.118.919;0;12
C10146;94.713.081;1;197.06;148.66;48.4;0;0.333333;0.25;0.166667;0;0;5;1000;492.200.419;509.384.182;0;12
C10147;764.042.156;0.818182;0;0;0;1.307.102.516;0;0;0;0.166667;3;0;7500;1.566.806.897;172.959.728;0;12
C10148;5.347.814.547;1;0;0;0;4.002.353.384;0;0;0;0.5;9;0;7000;0;;0;12
C10149;1.059.846.777;1;2084.48;1300.48;784;0;0.666667;0.416667;0.583333;0;0;13;21500;3.219.621.433;3.068.125.648;0;12
C10150;2.163.678.757;1;5779.36;3436.53;2342.83;0;1;1;1;0;0;97;6500;441.641.268;546.439.139;0;12
C10151;3.057.400.553;1;1025;1025;0;0;0.083333;0.083333;0;0;0;2;7500;698.854.095;819.682.666;0;12
C10152;19.354.559;0.909091;689.7;0;689.7;0;0.833333;0;0.833333;0;0;10;10000;746.691.026;;0;12
C10153;264.811.595;1;28.65;28.65;0;38.426.178;0.083333;0.083333;0;0.083333;1;1;9000;1.235.630.069;194.324.456;0.083333;12
C10154;110.822.253;0.909091;944.96;164.96;780;0;0.5;0.25;0.416667;0;0;9;1500;1.955.198.953;992.652.486;0;12
C10155;906.573.724;1;1039.2;80;959.2;103.102.091;0.833333;0.083333;0.833333;0.083333;1;11;13500;1.855.235.407;468.196.732;0.083333;12
C10156;767.962.904;1;4059.93;0;4059.93;555.469.352;0.583333;0;0.5;0.166667;7;14;7000;368.561.062;128.549.397;0;12
C10157;1.523.911.458;1;4075.37;3322.28;753.09;0;1;1;1;0;0;31;6500;225.426.002;32.929.648;0;12
C10158;49.206.256;1;870.24;0;870.24;0;1;0;1;0;0;24;8000;835.839.952;193.011.166;1;12
C10159;1.367.307.961;1;9792.23;3959.81;5832.42;2.444.445.738;1;0.75;1;0.75;26;216;20000;1.171.730.794;6.042.391.629;0;12
C10160;106.455.975;0.636364;2463.12;789.53;1673.59;0;1;0.5;1;0;0;46;4000;2.573.722.764;95.342.224;0.636364;12
C10161;119.760.904;0.363636;1859.34;0;1859.34;0;0.333333;0;0.25;0;0;4;20000;3.104.275.623;288.903.628;0.25;12
C10162;5.837.105.453;1;3488.49;3262.25;226.24;33.031.523;1;1;0.5;0.75;15;46;7900;0;;0;12
C10163;1.734.510.004;1;0;0;0;66.275.851;0;0;0;0.166667;2;0;1800;363.474.455;2.827.997.525;0;12
C10164;2.765.748.281;1;7283.31;5087.31;2196;0;1;1;0.666667;0;0;77;11000;143.733.929;1.058.128.452;0.25;12
C10165;104.637.041;1;295;295;0;93.579.809;0.083333;0.083333;0;0.083333;1;2;1200;439.407.082;362.838.185;0;12
C10166;2.737.367.678;1;0;0;0;429.691.164;0;0;0;0.416667;5;0;3000;778.827.993;721.798.576;0;12
C10167;4.014.818.167;1;0;0;0;988.356.213;0;0;0;0.083333;1;0;8500;1.009.185.035;1.177.149.934;0;12
C10168;871.568.977;1;648.22;115;533.22;0;1;0.083333;1;0;0;27;1200;1.110.886.425;208.298.424;0;12
C10169;1.610.040.203;1;557.19;525.64;31.55;0;0.25;0.083333;0.166667;0;0;5;4000;422.711.848;616.005.839;0;12
C10170;114.593.817;1;469.98;0;469.98;0;1;0;0.833333;0;0;6;1000;367.109.312;86.102.479;0.5;6
C10171;5.800.587.339;1;0;0;0;369.950.794;0;0;0;0.083333;1;0;6500;1.346.365.584;1.972.526.015;0;12
C10172;823.103.926;0.363636;131.64;0;131.64;0;1;0;1;0;0;12;8000;2.916.071.564;243.199.498;0;12
C10173;595.677.343;1;5078.14;4330.53;747.61;1.424.442.602;0.916667;0.666667;0.75;0.083333;1;42;15000;4.756.654.374;241.894.073;0.916667;12
C10174;1.128.124.563;1;924.6;0;924.6;0;1;0;1;0;0;12;1000;1.202.711.782;1.747.037.345;0;12
C10175;349.441.102;1;1975.4;1393.5;581.9;0;0.666667;0.416667;0.333333;0;0;17;4000;1.795.012.223;167.219.681;0;12
C10176;840.804.076;0.666667;0;0;0;3.671.777.443;0;0;0;0.222222;5;0;4000;3.621.266.477;193.171.404;0;9
C10177;975.942.008;1;10221.35;7141.38;3079.97;1.620.685.551;1;1;0.833333;0.583333;18;130;10500;1.069.349.585;347.641.073;0.75;12
C10178;23.111.088;0.363636;300;0;300;0;0.25;0;0.166667;0;0;3;12500;291.948.834;43.452.683;0.181818;12
C10179;2.187.732.265;0.857143;0;0;0;3.905.326.256;0;0;0;0.285714;9;0;3000;1.423.788.603;461.365.626;0.2;7
C10180;1.197.201.104;1;5715;4685.54;1029.46;1.626.351.366;1;1;1;0.166667;3;90;14000;4.639.513.745;3.192.306.018;0;12
C10181;1.608.451.822;1;0;0;0;205.737.165;0;0;0;0.166667;2;0;1800;470.565.984;408.799.147;0;12
C10182;1.872.926.275;1;766.61;766.61;0;1.017.120.578;0.833333;0.833333;0;0.25;5;12;2300;0;;0;12
C10183;2.933.240.476;1;0;0;0;2.040.433.925;0;0;0;0.583333;13;0;3000;2.431.578.544;173.974.883;0;12
C10184;336.799.916;1;3535.8;1614.7;1921.1;0;1;0.416667;0.916667;0;0;44;20000;2.814.231.227;186.230.835;1;12
C10185;36.236.312;0.454545;256.11;0;256.11;0;0.416667;0;0.416667;0;0;5;5300;831.375.322;189.036.967;0.166667;12
C10186;90.329.781;1;2697.48;150.5;2546.98;0;1;0.333333;1;0;0;39;2500;1.686.196.344;303.361.632;0;12
C10187;0;0;23;0;23;0;0.083333;0;0.083333;0;0;1;5000;0;;0;12
C10188;2.881.253.586;1;117;0;117;1.766.149.486;0.25;0;0.166667;0.75;28;3;4500;1.730.183.238;931.618.475;0.166667;12
C10189;5.465.999;0.090909;196.81;173;23.81;0;0.083333;0.083333;0.083333;0;0;3;12000;0;;0;12
C10190;117.442.684;1;653.73;493;160.73;0;0.666667;0.416667;0.416667;0;0;15;10000;441.588.141;136.827.952;0;12
C10191;168.522.709;0.818182;2009.05;0;2009.05;0;0.833333;0;0.75;0;0;22;1200;2.612.760.497;197.638.558;0.142857;12
C10192;1.706.014.379;1;147.78;0;147.78;1.657.090.283;0.166667;0;0.166667;0.25;4;2;6000;1.186.062.765;374.595.505;0;12
C10193;874.583.247;1;516.54;159.07;357.47;0;1;0.333333;0.916667;0;0;30;900;579.749.308;693.894.717;0;12
C10194;861.001.207;1;969.56;969.56;0;446.233.197;0.416667;0.416667;0;0.083333;1;6;2400;0;;0;12
C10196;966.251.742;1;311.45;311.45;0;955.959.749;0.333333;0.333333;0;0.083333;1;15;1500;277.522.439;286.299.328;0;12
C10197;38.615.644;0.727273;280.4;280.4;0;0;0.25;0.25;0;0;0;3;6150;254.392.984;5.579.974;0.090909;12
C10198;189.687.964;1;66.14;66.14;0;0;0.083333;0.083333;0;0;0;2;6000;0;;0;12
C10199;40.417.255;0.363636;79.2;79.2;0;1.631.576.375;0.083333;0.083333;0;0.083333;1;1;4000;1.647.880.773;24.815.878;0.083333;12
C10200;5.462.897.068;1;1453.32;0;1453.32;0;0.5;0;0.5;0;0;18;16500;1.382.269.127;1.755.253.802;0;12
C10201;3.983.923.705;1;756.54;756.54;0;0;0.5;0.5;0;0;0;15;4000;1.110.870.941;1.431.201.171;0;12
C10202;5.588.846.272;1;3507.35;603.75;2903.6;0;0.916667;0.166667;0.833333;0;0;34;11500;1.412.597.253;1.825.176.503;0;12
C10203;281.170.378;0.818182;3163.69;56.8;3106.89;0;0.75;0.083333;0.666667;0;0;36;8000;2.422.911.622;187.046.284;0.888889;12
C10204;130.251.538;0.909091;1343.19;1082.79;260.4;0;1;1;0.583333;0;0;33;15000;104.355.929;182.429.461;0.545455;12
C10205;1.973.814.964;1;873;873;0;0;0.166667;0.166667;0;0;0;5;8000;541.722.532;762.682.834;0;12
C10206;5.698.539.876;1;47.55;0;47.55;203.952.804;0.166667;0;0.166667;0.75;14;2;6000;2.976.579.866;3.463.174.962;0;12
C10207;43.103.899;0.454545;370;370;0;0;0.166667;0.166667;0;0;0;2;23000;1.212.054.219;68.725.483;0;12
C10208;566.546.048;0.909091;405.75;313.75;92;1.044.651.618;0.5;0.166667;0.416667;0.333333;6;12;2000;1.249.835.142;313.052.687;0;12
C10209;24.527.253;0.909091;261.64;0;261.64;0;0.833333;0;0.833333;0;0;10;4000;376.758.504;16.978.292;0.818182;12
C10211;8.350.145.568;1;1989.28;842.8;1146.48;893.757.903;0.333333;0.166667;0.166667;0.083333;2;8;14000;4.720.900.413;2.557.044.576;0;12
C10212;4.559.779.234;1;10848.5;8208;2640.5;0;1;0.666667;1;0;0;123;7500;9.423.715.495;2.925.275.522;0;12
C10213;267.713;0.090909;43.39;0;43.39;0;0.083333;0;0.083333;0;0;1;4000;130.107.234;29.700.051;0.090909;12
